review,date
teşekkürler sizlerede kazasız surusler dilerim,30.09.2023
e veriyorum gl swifti a corsa edition anlaştım kmde tl farkla geçişi yapıyorum karşılıklı kaporalar verildi bakalım hayırlısıemekkk hocam başta olmak üzere başını ağrıtmadımd konuya katkıda bulunan herkese teşekkür ederim,30.09.2023
hayırlı uğurlu olsun kazasız belasız kullanın yanlız corsa belalı motor garanti uzatın mutlaka bine gelirseniz mutlaka kayışı değişin,30.09.2023
sağolasın hocam kafamı bulandırdı motor işi fazla seçenek yok mecburen seçtim km leri göreceğimi sanmıyorum,30.09.2023
km hocam kapı direkte çizik vardı far değişimi tramer tl civarı gl benzinli olduğu bomboştu tabi şimdiki gl techno idare eder yine ben zaten el aldığım uyguna almıştım geçen sene nisanda tl ye almıştım,30.09.2023
i̇mkan varsa yükseltmek iyi olur tabi ben swifti alırken kasa corsa yeni çıkmıştı gidip bakmıştık dizaynı beğeniyorum ön konsol güzel ancak arka koltuk bana dar gelmişti hayırlı olsun güzel günlerde kullanın,09.09.2023
teşekkür ederim hocam swiftin koltuk boyutu konforu iyi bence hatta sınıfı içinde tepelere yazılabilir genelde eşim kullanacağı hemen hemen sadece şehir içinde kullanılacağı önemsemedim kullanımı oldukça basit geldi konsol dizaynı sayesinde aynı platform olduğu halde yüksek konsoldan ötürü rahat hissettirmemişti,09.09.2023
selam ben bir çocuk tatil vs sıkıntısız kullanıyorum yanlız bebek arabanız sıkıntı olabilir onu test edin arada swiftin yeni kasası geliyor yüzden aklınız kalacaksa kasayı olarak almayın,09.09.2023
benim şansıma çocuk yaşına gelene kadar citroen vardı onun bagajı halükarda alıyordu bebek arabasını jolie marka idi swift te sanırım ancak arka koltuk arkasına dikine sığar tahmin ediyorum yeni kasası seneye gelecek fazla süreceğini sanmıyorum clio makyaj yedi üstüne makyaj yedi hatta bile bunuda bekletmezler,09.09.2023
yeni kasası zaman gelir bilmem gl paketi yerine glx almanızı tavsiye ederim fiyat farkını karşılamanız mümkünse tabi bebek arabası sınıftaki arabada sorun olabilir swift genişlerinden ancak bebek arabasını bir deneyin bayide sığıyor bakın sonra sorun olmasın,09.09.2023
benim beğendiğim denemek istediğim araba honda jazz hele yenisi teknolojik tam benlik fiyatı inanılmaz yüksek,09.09.2023
bagaj sıkıntısını pandizot deniyor sanırım platformu sökerek çözdüm dün kişi tatile gittik kabin boy tekerlekli valiz el çantası sırt çantası falan derken yer bile vardı bizim aracın koltuk başlıkları epey yüksek ayarını biraz yukarıda ayarlayınca neredeyse bagajla koltuk arasında set oluşturuyor pandizot olmadığında epey yüksek bir yükleme depolama alanım oluyor senedir pandizot kullanmıyorum müzisyenlik yaptığım dönemde bateri setimi falan taşıyordum görenler şok oluyordu ufacık görünen arabaya sığdırdıklarıma bebek arkada olunca tabi güvenlik açısından sorun teşkil eder mi bilemiyorum güvenli hale getirmek file tarzı bişey gerilebilir mi bilmiyorum arkası epey hoplatıyor bi amortisor konumu yapısından macbur kalınacaksa kullanılır bebekli aileyi biraz zorlar bizim araç,09.09.2023
valla garanti konusunda ben trdeki distribütörlere tam anlamıyla güvenemiyorum yukarıda arkadaş şanzımanda hata çıkarsa yanarsanız demiş ben servisin tamam hadi cvtyi komple japonyadan getirtip sıfırıyla değiştirelim diyeceğini sanmıyorum hele suzuki tr hayatta yokuş yapmadan değişmez i̇lla sinir ederler insanı cvt arızalı olarak fiyattan düşer satarım arabayı iyi değiştirsen bile kayıtlarda görünecek satarken al başına belayı,23.09.2023
benim baleno zamanında garantiden işim oldu kaza onarımı yaptırdım özdemirler suzukide üçünde tavırları olumluydu ekran arada geri vitese geçerken takılma yapıyordu onarıma gitti geldi klima ayar plastik triminde atma oldu yerine oturmuyordu benim hatam değil isteseler benim üzerime yıkabilirlerdi yapıştırma sanayi usulü ucuz yollu çözebilirlerdi hatta ben dedim adamlara abi damla japonla hallolur yapıştırın gitsin güldüler bana komple klima kontrol ünitesi değişti kazayı hızlı temiz onardılar önemsiz bir parça ellerinde yoktu olmadan toplayıp teslim ettiler aracı gelince söküp tekrar monte ettiler araçsız kalmayayım boyanan parçanın rengini iyi tutturmuşlardı işçilik iyidi fiyat şişirme olmadı kaskodan yapılmasına rağmen kazada soğuduğum aracı onarımdan sonra tekrar sevdim şanzıman maliyetli parçaları garantiden direkt değiştireceklerini ben sanmıyorum taşeron güvendikleri bir firmaya onarıma gönderip yapılan onarımı garantiden karşılarlar bence umarım gerek kalmaz garantinin olması olmamasından iyidir,23.09.2023
aliexpressde var hatta youtube reklam yapanda var takması iş valla kapının döşemeyi söküp içine montaj yapılıyor,23.09.2023
facebook daki gruptan cevabı bulursunuz,23.09.2023
ferodo ön balatalar işçilik,23.09.2023
merhabalar eşimin splash aracı var farları yaktığımızda teyp klima panelimin ışıkları yanıyor fakat otomatik vites üzerindeki rakam harfler ışık yanmıyor böylemiydi bir sigortası felan var yada ışığı teşekkürler,23.09.2023
yüke göre kendisi ayarlıyor far otomatik,23.09.2023
maalesef düşük kalıyor kisa farlar dar bi alanı aydınlatıyor biraz kaldirmak istemistim ancak soylediginizden anladığım kadariyla servis dışı ayar yapılamıyor,23.09.2023
maalesef bir ihtimal manuel bir yolu vardır servise danışın genede resime gitmek tıklayın,23.09.2023
bugün bin bakımını yaptırdım güvendiğim bir ustama bütün malzemeyi ben almıştım geçen seneeden zaten işçilik tl aldı toplam tl tuttu,23.09.2023
malzemeleri geçen seneden almanız iyi olmuş ben servisin koyduğu yağa baktım internetten neredeyse sadece yağ idi hybrid modelde aracı bedavaya yürütüyorsunuz resmen,23.09.2023
aynen gerçekten fark oluyor geçen sene yağ tl idi şuan tl civarı keza filtre vs zamlanmış şuan elimde yağ hariç filtre seti gene geçen seneden kaldı set almıştım bakalım ilerleyen zamanlar göstericek işçilik olayı değişken tl diyenler çoğalmış durumda,23.09.2023
gelecek yıl resime gitmek tıklayın,23.09.2023
bakımdan sonra olan ortalama ye düştü aynı güzergahta ilginç gerçekten d resime gitmek tıklayın,23.09.2023
kitapçığı varsa aracın orada yazıyor yada yag seciciye güvenip önerdiğini alacaksanız motora uygun,23.09.2023
glx premium tl olmuş a almıştım,16.09.2023
hocam isterse milyon yazsın bir anlam ifade etmiyor fiyatı sarı sitede an küsür başka marka olsa liste fiyatının bin lira üzerine ilanda olması gerekiyordu markalarda durum böyle an araçlar sıfır liste fiyatının üstünde satılıyor,16.09.2023
örnek ilanı ekliyorum yazdıkları doğruysa araba hatasız km düşük bugünkü piyasada arabanın kötü liste fiyatından ilanda olması gerekir fiyatlamayı yapan suzuki yetkili bayi eliyle aracın değerini buduyor yıllardır anlatmaya çalıştığım arkadaşlar ısrarla kabul etmiyor,16.09.2023
gene mutsuz olacak bişey bulmuşsun hocam tebrikler ben alırkenki liste fiyatı boş paket otomatik corsadan yüzde civarı ucuzdu hatta yıl farkından indirimli almıştım günkü liste fiyatı boş otomatik corsadan pahalı yeni zam yedi listeler eli biraz yavaş olduğundan zamanla artacaktır suzuki aralar liste fiyatınu önden önden katmerli artırıyor hafta zam yapmaktansa başta büyük geçiriyor bence allah aşkına otomatik polo aynı fiyata swift mi olur liste fiyatlarına baksan oluyor amaha araba al satçı arabası değil onun etkisi ille bir miktar fark olacaktır fiyatın oturması biraz uzun süre alacaktır sabah yaptılar zammı ucuz ilanlar güncellendikçe satıldıkça artacak işte aya kalmaz milyonluk arabaya biniyor olacağız bardağa dolu tarafından bir bakış açısı getirmek istedim,16.09.2023
bunu konuşmuştuk hocam polo aynı fiyat olur tam zamanı an sen yeter araba gelene satan markaymışsın açıktan para isteme milletin canı burnunda polo sıra bekleyeceğine hazır araba alır geçerim der fırsatı bile kullanamıyor doğan trend eline hayatının fırsatı geçmiş tane bayiye söz geçiremiyor,16.09.2023
model toyota chr hibrit hatasız aracımı liste fiyatının tl altına sattım prim yapmayan araba var ben oradayım,16.09.2023
kesinlikle koydurmayın hocam tek söyleyeceğim olur,16.09.2023
yenilerinde markası farklı herhalde tabletin,16.09.2023
periyodik bakımı sanayide yaptırdımyağ değişimi castrol magnatec start stop balataların değişimi kalepolen filtreyağ filtretoplamda tuttu,16.09.2023
hayırlı olsun servise göre baya uygun üstüne balata değişimi bile var olsun,16.09.2023
yaşamazsın tarım orman traktörleri motosiklet mopedler model yılı öncesi dizel motorlu taşıtlar hibrit elektrikli araçlar hidrojen yakıtlı araçlar egzoz gazı emisyon ölçüm işleminden muaftırlar,16.09.2023
bugün yıla geldiği fren hidrolik değişimi yaptırdım tl tuttu işlem basit tek kişi değişmesi zor olduğu direk balatayi taktırdigim tonguç frene gittim gene şuan bir sıkıntı yok,16.09.2023
garantiyi bozma aksine uzat bozarsan buyuk hata yaparsin,16.09.2023
garanti uzatımı denilen tamamen yalan dolan öncesinde arayıp genel müdürlükten bilgi almıştım garanti uzatımında herhangi bir parça sorun garanti vermiyorlar sadece süre içerisinde parasını ödeyip yaptıracağınız bir şeyin garantisini vermiş oluyorlarmışayrıca geçen sene koşuyolu suzukide yağı kendim vermiştim onu koymuşlardı garanti bozulmuyor demişlerdi sene aynı işlem garanti bozuluyor anlamadım demek yağın arasına biraz para sıkışıyor sene,16.09.2023
tamam bir kavramaya bin verince dolar kurunda size yazik olur soyleyim,16.09.2023
ay sonra durumlarla karşılaşırsam zaten garanti süre aşımı olacaktı dolayısıyla ömür boyu bir garantiyi bozma hatasına düşülmüyor teşekkürler bilgilendirmeniz,16.09.2023
i̇nternet sitesinde parça parça yazıyor hocam uzatılmış garanti neleri kapsıyor gün servis müdürü teyit etti motor şanzıman aktarma mekanizmalarından bazıları elektronik kartlarbeyin vs garanti kapsamında plastik trim tablet vs parçaları sarf malzemesi niteliğindeki parçaları kapsamıyor eskiden ekstra para yıla kadar uzatıyorlardı garantiyi şimdi ücretsiz olmuşservis ücretine gelen zamla bir miktarını servis fiyatı içine yedirmiş olabilirler tabi bakımı serviste yaptığınız sürece yıl bin kmhangisi önce dolarsa motor mekanik garantisi devam ediyor olacak aracın i̇leride satarken ekonomik değer katacağını düşünerek kabul ettim bakımı serviste yaptırdım civarı hybtid standart bakımı yağ hava filtresi pahalı kalem i̇şçilik ücretleri artmış haliyle garantisinin devam ediyor olması olmamasından iyidir araca ekonomik katkısı den fazla olacaktır düşünüyorum bir süre sonra kampanyayı sonlandırırlarsa muhtemelen sisteme işlenen araçlar boyunca kullanabilecek imkanıbakıma servise geldiği sürece araca özel yıllık tanımlama yapıp sisteme girdiler garanti garantidir değer katar düşündüm i̇lgilenenlerin bilgisine,16.09.2023
fiyatlarla kesinlikle garanti uzatilmali garantiyi bin kâr edecegim bozanlari bin masraf yaparken gormek istemiyorum garanti evet bazi parcalari kapsamiyor kapsadigi parcalar zaten sorun verdiginde pahali parçalar turbo motor kavrama diskleri kapsamiyor evet onu zaten motora göre cüzi miktar odeyerek halledersiniz önemli olan garantinin kapsadigi parçalar zaten arkadaslar sanayicilerin lafina bakarak hareket etmeyin adam yagi tliye eksik degistirir ilerde kat be katini sizden alir,16.09.2023
ilginç ecu kafayı yemiş sizin,09.09.2023
sıfırının fiyatı bin tl olmuş milyona doğru yürüyor fiyatlar,09.09.2023
resime gitmek tıklayın bugün ayakkabılarımızı değiştirdik güzel oldu sizlerle paylaşmak istedik ayrıca lastik almayı düşünen gün beklemesin gün arayla aradığında zam gelecekmiş yeni gelmiş tekrarı var üzerinde üretim orijinal lastikleri vardı bir lastikçi beyaz sakal tanıştım özellikle fiyat performans olarak resimdekileri önerdi değerleri dikkate almadım söze güvenerek adet işçilik tl izmir karabağlar üzerinden yıl sonra çıkan lastikten sonra lokum geldi kore malı tepkilerini zamanla göreceğiz yeni malın tadı başka oluyor görünüşü bile,09.09.2023
güle güle kullanınlastik youtube kanallarında özellikle yabancılarin çoğu takıyor ilginç bir şekilde swifte şuan dört mevsim lastik var benim araçta açıkçası olur merak ediyorum hemde fiyatı uygun,09.09.2023
teşekkür ederim evet bende bir ara erzurumdan almış olduğum model swiftimde kar lastikleri vardı kış kullanmış herhangi bir sorun yaşamamıştım geçmiş mesajlarda takan bir kullanıcı mevcut bizim araçların yönlerinden lastik ölçüsünün ara ebat olması sebeple aynı model lastiklere göre pahalı üretilen araçlar sebeple ön plana çıkıyor ara lastik ebatı zaten araştırırken bir lastikçi honda jazz şeklinde soruyorlar düşündürücü gerçekten keyif ili olsa gerek benim ilk önce gerçek boyutu önemliydi sebeple tercih ettim,09.09.2023
aynen azından rahat oluyor bakımı kendin yaptırıncaservis bidonda varsa onu koyuyor balata ben binde degismistim i̇stanbulda tonguç frene gitmiştim tl idi geçen yıl kendi markaları var onu taktılar sıkıntısız bine geldi araç şuan,09.09.2023
garanti bozulmasın gittim yetkili servise yıl bozdum garantiyi çakallar açık yağı basıp geçiyor araba kışlar rölantide sesli sarsıntılı çalışıyor ince olur diyordum ben onu tercih edeceğim sanırım aklı olan mecbur kalmadıkça yetkili servise gitmez,09.09.2023
servise şanzıman yağı değişiminde giderim trigerde bi araba bende kalırsa onun dışında hayatta servise gitmem bir aracın ivmelenmesi değişti olabilir yapılan yılda motul yağ işçilik tuttu filtre balata ellerinde yok an ankarada olanlar bilgi verebilirim ilgili düzgün bir esnaf bir ara forumda konusu vardı sanırım,09.09.2023
bende uzun yol yaptım araç maşallah yokuş mokus dinlemiyor bg den fazla gidişi var ağırlıktan ötürü farkı hissettiriyorbabamdaki auris bg kadar atik değil üstüne çıkmadı fabrika verisi düşük kadranda gördüm,09.09.2023
sevindim güvenilir bir site gerçekten orasıbu arada verdiğin link marka bosch demiş illa dışarıdan almak istersen trw tavsiye ederim bosch orjinal yazmış alakası yok maalesef,09.09.2023
trw iyi nereden bulacağız hocam,09.09.2023
,09.09.2023
uyumdan emin misin hocam bizim modelleri kapsamıyor ben bosch valeo gördüm sadece,16.09.2023
sitesinde arayıcı var sonrası tum swifte uyumlu yazıyor,16.09.2023
sırf yağ muhabbetinden dolayı garantiyi bozdum normalde uzatılmış garantim vardı götürmedim son bakımına herifler dalga geçer kitapçıktaki yağı değil kafasına esen yağı koyuyor yarın motorda sorun çıksa kullanıcı hatası diyip geçecekler sonra mahkemelerde uğraş dur bilirkişiler bunların adamı zaten,16.09.2023
aynısı diğer markalarda yaşanıyor maalesef konulması gereken citroen yağını yetkili servisler göz göre göre koyuyor parası neyse verelim yeter doğru yağ koysunlar,16.09.2023
aynen cep telefonundaki hesabım giriş yaptım ben büyük ihtimal farklı versiyon var akşam müsait olursam çekip atarım,09.09.2023
chrome dan türlü hesaba girebiliniyor orada sorun yok zaten sorun play store uygulaması kullanmak oradan uygulama yüklemek cihazın güvenlik kilidi var bir şifre istiyor haliyle bir müdahaleye izin vermiyor cihaz,09.09.2023
resmi çektim bakalım kadar fark var bende direk açık işte ilginç bişey yapmış daici resime gitmek tıklayın,09.09.2023
belli bir zamandan sonra takılan ekranlarda ekranı servise gidip gelen cihazlarda kitledi biliyorum daichi muhtemelen garanti süresince bozulma ihtimaline karşı önlem benim eski aracımdaki eskiden açıktı bi arızadan dolayı servise gitti geldi geldiğinde kitliydibaleno konuşuyorum aklımda servise giden araçlara güncelleme adı altında kilitleme işlemi yapıldı bir bilgi kalmıştı emin değilim,09.09.2023
olabilir sonuçta bunun program yükleme işini abartirsak cortlar büyük ihtimalle ben tadında bıraktım fazla kasmamak zaten,09.09.2023
sol altta tuşların orada olması lazımdı kapatma tuşu,09.09.2023
model swift in bakım zamanı geldi maslak bulunan yetkili servisin den fiyat aldım bin dediler özel servislerde kaça yapılır bilginiz var arkadaşlar,09.09.2023
evet swift sorunsuzdur parça anlamında son kasalar trdeki kısıtlı araba olabilir ufak kazada ağır hasar kaydı işlenir yetkili servis harici hiçbir yerde parçası yok onlarda tek bir far ay kadar önce bin lira arasıydı yan sanayi bulurum asla düşünme hiçbir parçacı getirmiyor araç olduğundan keza fazla satılmadığı çıkma parça bulamazsın kısacası yağmurdan kaçarken doluya tutulursun dediğim ufak kazada yetkili servisin eline düşersin dışarıda bin liraya toplatacağın kazaya bin liralık fatura çıkartırlar,09.09.2023
parçayı kendin alırsan işçilik çıkar sadece cebindenyag filtresi vs işçilik dahil tl civarı çıkarsın,09.09.2023
merhaba ben maslaktan kadar fiyat alınca araştırma yaptım tuğmaner ataşehir yaptırdım uyguna geldi,09.09.2023
yağmurdan kaçarken doluya tutulmak istemiyorum arac girecek garantisi bozulsun istemiyorum taksite bakımı yetkli servis yaptıracağım galiba,09.09.2023
aynı mantıkla ben serviste yaptırdım artık sanayi time araçları alırken büyük motivasyonumuz zaten sağlam olmasıydı nere nere,09.09.2023
fiyat istedim onlarda dediler,09.09.2023
aralık tuğmaneri arayıp fiyat istemiştim israrla sadece yağ yağ filtresi hava filtresi değişimi fiyatı istememe rağmen telefondaki görevli ısrarla aracın yılını sorunca periyodik bakıma girecek dedi küsür bir fiyat çıkardı kmdeki araçta gereksiz tonla ıvır zıvır değiştirip cam silecek suyu parası atık bedeli parası alacaklar diyip garantiyi bozdum bostancı sanayide dükkana baktım esnafları beğenmedim açıkçası kendim değiştirteceğim yağ filtresi bulamıyorum ay oldu km yaptım yapmadım gittiği yere kadar gitsin umurumda değilbir glxlerde silecek suyu püskürtmeyi çalıştırdığımda önce silecek çalışıp sonra cam suyu püskürtüyor silecek ilk çalışmada kuru kuru git gel yaptığından lastikleri bozuldu sildikten sonra iz kalıyor gitmiyor zamanlayıcıyı ayarlayan mühendisin validesinin kulaklarını çınlattım baya önce suyun saniye camı ıslatması gerekirken tam tersi oluyor hayatımda hiçbir arabada böyle bir görmedimbir yazları kendi kendine kalorifer açılıp hava üflüyor ben kapattıkça açılıyor sinir bozucu bir sebebi amacı anlamadım sigortası falan varsa çekip kurtulacağım artık,09.09.2023
,09.09.2023
valla otoparcasandan alışveriş yaptım sorun çıkmadı sadece sinoptan geliyor kargo i̇stanbula gelmesi uzun sürüyor birazcık yağ konusunda açıkçası biraz para tuzağı baktığım büyük ihtimalle lubex devam edicem duruyor servise göre bedavabu arada standart bakım keşke mekan olsa rahat herkesin yapabileceği bir işlem,09.09.2023
arada silecek denemesi yaptım olması gerektiği çalışıyor önce suyu atıyor sonra siliyor model bindeki aracın silecekleri hala fabrikasyon takılanklima konusunda arkadaşımın clio inden güzel soğutuyor hatta arkadaşın garantiden klima kompresörü değişti bir kere tabi benim aracım başka araçlar konusunda yorum yapmak bana düşmez silecek videosu ekte,09.09.2023
benimki böyle değil işte silecek kuru kuru çalışıyor sonra su geliyor arada pompada su seviyesinde sıkıntı yok gayet kuvvetli püskürtüyor zamanlama hatalı i̇lk servise götürdüğümde bilgisayara bağlayıp uğraşmıştı ustası yazılım falan attı yaptıysa içine etti havalandırmanın kendi kendine çalışması ondan sonra başladı ben kapatıyorum çalışıyor illallah ettirdi,09.09.2023
arkadaşlar arabayı temizlettim baktım park sensörü çalışmıyor internette araştırdım bagajdaki hoparlörü kapatmışlar açtım hoparlörü yine bangır bangır bir ses yok eskisi ses çıkıyor hida bile çözümünü bilen var başka bir yerde hoparlör açma kapama dugmesi mi var,02.09.2023
modelde oluyormuş sadece yazmışlar,09.09.2023
yariste var uçuk fiyatları ben memnunum olmayanlar var fiyat olarak degerlenmediginden ötürü sizin citroen motorsa zaten saatli bomba bir motor kol dayama aliexpressde model var sıkıntısız uyuyor zaten konu içinde link varekran meselesi model bendeki daici marka sanırım bir sorun yaşamıyorum hatta çoğu uygulama kurulu normal tablet yolda kullanıyorum bence yeni kasası çıkacak swiftin yaris ortak olarak onu bekleyin derim,09.09.2023
zaten motoru yüzünden değiştiriyorum desem yeridir dediğiniz masraflı problemli bir motor son yağ basıncı arızası nedeniyle tl masraf çıktı arabadan soğudum yaris jazz otomatik gereksiz pahalı olduğu onları kafadan eledim açıkçası bütçelere çıkabilsem c segment alırım zaten,09.09.2023
geçmiş olsun tekrardan dediğim yeni kasası geliyor swift onu bekleyin derim vakit varsa,09.09.2023
yazılım farkı sanırım ufaktanda olsa,09.09.2023
valla toyota ortak bir motor varmış büyük ihtimalle hibrit bir motor gelir ondada azda olsa kendi şarjı yol gider büyük ihtimalle yılı sonu deniyor,09.09.2023
ben hepsini blueprint marka aldım geçen sene zaten kullanmıştım aynılarını sıkıntı yok sadece yag filtresi filtron marka kodlari filtre sitelerinden alabiliyorsunuz yag lubex,09.09.2023
teşekkürler hocamsonrası bilgi amaçlı yazıyorum lü filtron filtre seti tutuyor,09.09.2023
bende hocam lakin ben daichime uygulama yükleyemiyorum nette play store kullanabılmek ıcın yazılmış neredeyse şifreyi denedim sanırım yapabildiyseniz yardımınız makbule geçer,09.09.2023
benimki versiyon farkımi var ben normal tablet kullanıyorum şifre vs sormuyor,09.09.2023
uygulama indirmek playstore hesabını açmak gerekiyor lakin onu açmak bi şifre konmuş uygulama kurulmasın sanırım sizin versiyon farklı mıdır bilemiyorum tabı,09.09.2023
arabanın bugüne kadar kötü yanlarını söyledim buradakilerle kavga ettim segmentine göre iyi yanlarını söyleyeyim bari frenleri iyi civicten geçtim hiçbir eksiklik hissetmedim arka disk fren olduğundan olsa gerek sert frende abs devreye girmeden durduruyor güzelce dci clio denemiştik fren bir yok farlarından memnunum yolu iyi aydınlatıyor civicte fabrika çıkış xenon vardı memnun değildim bildiğin göremiyordum köprü altlarında falan şoför kısmı gerçekten geniş yakınım sorun yaşamıyorum clio oldukça basıktı,26.08.2023
swift yedek parça bulamadığım artık almayacağım bir model suzuki japon grubundan bile saymıyorlar,26.08.2023
özel mesajdan yazdım buradan yazayım swift yıl kasa değiştiriyor gidip eski kasa almaüçkağıtçı suzuki türkiye bunu söylememiştir kesin bize sonunda araç satarken benzinlilerin satıştan kalkacağını söylememişlerdi ben yine hibrid almazdım bilgilendirmeleri gerekirdigit piyasası olan bir marka al dostum para kolay kazanılmıyor,26.08.2023
normal demedim hocam sadece durum analizi yaptım malesef durum keşke böyle olmasaydı baleno aldığım zamanı hatırlıyorum pazarlık yapa yapa aldık mis şimdi gelinen hale bak firma dediğinizi yapabiliyor olsa yapardı diğer firmalar yapardı bence piyasada paraya boğulacak sonuçta kadar çinli marka boşuna tr piyasasına girmeye çalışıyor dediğiniz şeyi yapmaya çalışıyor onlar firmalar yapabiliyor olsa yapardı bence arz kıt olduğu olanı kaç tur el değiştirip kitleye kitleye satıp dolduruyorlar keseyi normal bişey değil olan dolara alıyoruz evet araba swift nihayetinde veriyoruz beklentiyi yükseltmeyelim açıklamayı yaptım polodan jazz dan cliodan ucuza alıyoruz aracı yönleri eksik yönleri fazla olacak türkiye koşullarında zor alıyoruz gereğinden fazla gözümüzde büyütüyoruz arabaları,26.08.2023
kasko sigorta çıktı gl,26.08.2023
model benzinli glx swiftimi allianzdan zorunlu ts bin geniş kasko yaptım kasko peşin tu taksitle öyle oldu tl yapı krediden world puan geldi geldi kaskoyu yapı kredi mobil bankacılık uygulamasindan aldım zorunlu trafikte malesef sene onlinei kaldırmışlar onun acenteye gitmek zorunda kaldım ancak fiyat farkı yok firmalarda zorunlu trafik sigortası aynı olmuş yıl fazla tl oynuyor,26.08.2023
ben yeni kasko sigorta yaptırdım kasko hdi suzukinin süper kasko trafik sigortası lira kasko başka bir kaç markadan ucuz rakamlar vardı ben hdiyi tercih ettimek swift glx,26.08.2023
benim sigorta teklifleri farklıydı hatta ucuz pahalı arasında tl fark vardı vade farkı ilginç olmuş kasko sigorta taksit oldu benim,26.08.2023
ben hepsini değiştirdim herhangi bir ışık yanmadı özellikle tavan bagaj aydınlatma baya fark yarattı gerçi ambiyans aydınlatma olduğu iç ışığı kullanmıyorum açınca geceyi gündüz yapıyor,26.08.2023
