ben sipariş verdim. yıl sonu teslim diyor bayi. Online dan kafana göre araç oluşturup kodu bayi ile paylaşıp ilerleyebilirsin sipariş için.                ,4 gün
review,date
Bu araçlar üst dilime geçti zaten. 2200-2500 falan oldu.                ,2 ay
ÖTV dilimi fln hikaye artık başkan ÖTV yi 2 kere ödeyin diye ulusa seslenebilir her an                ,2 ay
3 gün evvel Mercedes onlıne dan Eqa 250 alabildim. ama 24 saat pusuda beklemeniz lazım yoksa 30 saniye içinde kapanın elinde kalıyor.                ,2 hafta
güzel araç.. yabancı yorumları da okudum. konforlu ve sahibini üzmeyecek bir araç..                ,6 gün
review,date
Bir sonraki istasyona yetecek kadar şarj oluyorlar kısmında güldüm  ,4 ay
"Bu elektrikli araçlar bizim gibi kalabalık keşmekeş ülkelerde, menzilleri en az 2000-3000 km olana kadar tutmayacak.Bu kadar trafik ve insan yoğunluğunun olduğu yerde, hele bir de bizim gibi sabırsız, kural tanımaz, sürekli koşturan insanların olduğu yerde ortalama 300-400 km de bir aracı en az 1 saat şarja takmak, şarj sırası beklemek falan çok ütopik işler şimdilik.Bu araçlar nüfus ve trafik yoğunluğunun az olduğu, yer gök ucuz ve çok hızlı şarj istasyonu olan avrupa ve amerika için.                ",4 ay
160 son sürat. 5 para etmez. uzun yolda 150km sonra şarj gerekir. hiçbir yere gidilmez.                ,4 ay
160 az şaşırıdm bende                ,4 ay
"Baştan aşağı yanlışlarla dolu. elektrikli aracı trafiğin yoğun olduğu şehirlerde kullanmak demek, daha uzun menzil demek, daha yüksek hız ortalamalariyla kullanmaya göre daha az batarya ömründen yemek demek. Kalabalık şehir, keşmekeş içinde egzoz gazı vs pisliginden kurtulmak vs onlara girmiyorum bilinen şeyler. büyük şehir insanı daha az günlük km, daha az menzil ihtiyacı demek. Akşam evinde otoparkında sarj imkanın varsa fiyatlar da artik içten yanmalılara iyice yaklaşmışken elektrikli gayet mantıklı şu an.                ",4 ay
"EQA350+ 4 Matic aldık arkadaşa geçen ay benim E ile beraber, ben E aldığıma pişman oldum. Aracın ivmelenmesi ve torku, önünün kalkması ve viraj kabiliyeti segmentine göre çok iyi. E serisine göre yalıtım ve malzeme kalitesi ise gözle görülür şekilde kötü. Antrasit tavan nasıl bir pişmanlık almadan gördüm, iyi ki almamışım aracın arkası aşırı karanlık geceleri ambiyans aydınlatmayı cimrilikten yarım yapmışlar E gibi değil. Ancak yine de fiyat/performans olarak alınacak en iyi araç EQA'dır şuan. O paraya Kuga-Qashqai-Tucson vs... gibi dandik araçları alana kadar, çok mantıklı ama tabi ki fırsatçılık var. Vatan haini galerici ve al-satçılar alıp 500/700.000TL kar koyup satıyorlar. Not olarak Mercedes 20.000TL'ye şarj istasyonu da takıyor. Taktırdık kapalı garaja, 6/8 saat arası full dolduruyor. Hızlı şarj tavsiye etmiyor batarya ömrü için firma.                ",4 ay
"Su an için İmkanı ,otoparkı olup şehir içi kullanım icin ideal onun harici halkın çoğunluğuna hitap etmiyor elektrikli araç bizler icin ütopik   Normal sartlarda şehirler arası yolculuğun belli bir kilometreden sonra dinlenmek için istirahat zorunluluğu var bu sürede sarj edilebilir ama Ankara içinde  dahi çok az gördüğüm sarj istasyonu göz önüne alındığında şehir dışına elektrikli ile direksiyon sallamak yürek ister   Kesin bilgim yok ama   hızlı şarj istasyonlarında batarya dolum ücretleri oldukça yüksek                ",4 ay
bu araba var mı yoksa olmayan bir arabaya biçilen fiyatmı.satışta mı .onlıne satışta göremedim.                ,4 ay
Elektrikli araç işi bitmiştir. 2 yıla kalmaz her eve girer                ,4 ay
"Online satıştan alınabiliyor bu iki araçta. Bayilerin kotasına vermeyeceklermiş. Online dan da nasıl alacaksak artık, çok çok zor.                ",4 ay
"merhaba hocam arkadaşınızın kafasını duvara vurmasına gerek yok size öyle demiş olabilir ama şu an istese o arabayı ilana koyar 1 hafta gibi bir sürede liste fiyatının 150bin üstünden satar, mercedese gelecek olursak evet fiyat çok iyi ve online siparişe geçtiklerini söylüyorlar ama online sipariş sayfasında ne eqa var ne de eqb, şu an online satışa açık olan 6 araç var 4 tanesi yolda gözüküyor stok yok yazıyor, diğer ikisi satın alınabilir olarak gözüküyor satın almaya çalıştığınızda stok yok uyarı ile karşılaşıyorsunuz yani online sipariş olayı yaş hocam bayiden ekstra opsiyonlarla satıyorlar halen daha                ",4 ay
"yarın benimde test sürüşü randevum var. ellerinde 350+ var onla çıkarız bakalım teste. bu fiyattan satılırsa 250, yok satar o ayrı konu,inşallah yeterli sayıda gelir ülkeye                ",4 ay
"Toyota elektrikli araçlarında 1000 KM menzil ile piyasayı sarsacak. 500 KM menzil çok az. Çünkü, veri fabrika verisi. Gerçek koşullarda 350 KM anca gider. 1000 KM menzilli Toyota ise 700 KM falan gider.    99 depreminin vergisi bile hala alınırken. 11 şehrimizi yıkıma uğratan, tarihin en yıkıcı depremlerinden birinin sonucu olarak nasıl bir vergi politikası uygulanacağını varın siz düşünün. Önümüzdeki 20 yıl sıfır araba almayı falan unutun.                ",4 ay
350 gördüm                ,4 ay
Aracı çok beğendim. Elektirikli bir mercedes için fiyat da oldukça uygun. Ciddi ciddi almaya niyetlendim ama yorumları görünce soğudum biraz. Katalog değerlerini boş verin yarısı kadar anca gider durumu varsa gerçekten uzun yolda pilim bitecek diye strese mi girecez şimdi.                ,3 ay
1.5 milyona eqb buldun da bataryası menzili kaldı                ,3 ay
review,date
"Hakikaten dediğin kadar kötüyse Çin'deki üreticiler piyasa girdikçe derinlemesine nüfuz eder, ortada marka filan bırakmaz yanlış anlaşılmasın bu markaları öldürmez süründürür, karlılıklarını düşürecek kadar satış çeker. açıkcası dediğiniz kadar kötüyse malzeme+servis masraflarınıda hesaba katıp diğer seçeneklere giden çok olur, (misal benim gibi düşünenler) hibritli alternatifler marka modellere göz kırpılabilir.                ",5 ay
Bu araçlar uzun yol aracı değiller. Uzun yolda kullanırım ben ne olacak diyenler yeni pil teknolojileri gelmediği sürece yollarda perişan olacaklar.Bu araçların en güzel yanı şehir içinde kullanımı. İşe gidiceksni işten döneceksin akşamda garajında şarja takıp sabah dolu olarak alıp kullanacaksın. En ucuz en verimli kullanımı bu.Ben yine de full elektiriğe karşıyım plug and hybrid araçlar en mantıklı araçlar. Şehir içinde elektrikli kullanım şehir dışında da içten yanmalı motorla gayet güzel kullanılırlar.                ,5 ay
"Çok iddialı bir fiyat, segmenti domine edebilecek kadar iddialı bir fiyat. Mercedes muhtemelen talebi karşılayamaz. Menzil falan diyenler olmuş haklilarda nasılki fabrika verisi yakıt tüketimi genelde hayalse menzilde öyle ancak markalar  pil teknolojileri gelisene kadar şarj teknolojilerine sağlam çalıştılar Çok hızlı şarj oluyorlar. İnanın bi helaya  gidip bi kahve içip sigaranizi  içene kadar bir sonraki istasyona yetecek şarjı oluyorlar. Birisi demiş 500 km uzun yol için az, abi ben en son 270 km yol yaptım 2 kez mola verdim 15 er dakikadan kendimle zorum nede 500 km ara tan inmeden sureyim                ",5 ay
"Yok, bu ülkede o da kurtarmaz maalesef...                ",4 ay
Okkkkkkkkkk satışlar başlayınca haber verirsin...  ,4 ay
"Aynı fikirdeyim senle, yerli araçların marka sayısının artması lazım. O zaman rakamlar daha da düşecektir.                ",4 ay
"Attığın mesaj trollük gibi ama.TOGG ile bu araçların gelmesi alakasız. Bunlar TOGG dan önce de geliyordu. Sadece vergi indirimi etken oldu fiyatlarda. Kaldı ki Mercedes in bu modellerinin aldığı indirimi diğer araçlar alamıyor.Piyasada bu kadar çok elektrikli araç olmasının en büyük sebebi Çinli araç üreticileri. Adamlar zibil gibi marka model araç çıkartınca diğer büyükler de devreye girmeye başladı. Bir de ülkelerin fosil yakıta karşı çıkardığı yasalar kurallar gelince yatırımları da arttı ve hızlandı.Mercedes "" aa togg var lan kesin girmemiz lazım buraya "" dediğini sanmıyorsunuz herhalde.                ",4 ay
Tek etken değil haklısın.Hiç etkisi olmadığını düşünmekte mantıksız                ,4 ay
Bu fiyata bize yedirmezler maalesef.                ,4 ay
Ötv siz toggdan ucuza geliyor                ,4 ay
"İstanbul-Bursa arasında 2 dağı aşarken EQA 250'yi geçin EQS 350 hatta Tesla Model 3 bile şişer. Yolda şarj istasyonu varsa günübirlik gezi yapanlar önünde kuyruklar oluşturur. Pik zamanda şebeke elektriği nasıl karşılar konusu önemli değil Elektrik zaten doğadan bedavaya yağıyor, pik zamanda istasyon önünde boş port bulunur mu konusu öneme binecek.                ",4 ay
"e-araçlarla birlikte uzun yol yolculukları , özel araç sahipliği azalacak. Tony Seba'nın 2020-2030 arası ulaşım raporunu inceledim, sadece Amerika'da 200 milyon araç yollardan çekilecek diyor.   e-araç speklerinde bir de açıkça üçkağıt yapılıyor.  Örneğin Skywell ET-5 menzil 489km, hızlı şarj süresi 30dk diyor fakat menzil %100 full şarj olmuş batarya için, 30dk ise %30 - %80 arası yarım şarj batarya için.                ",4 ay
"Bu arabaları alanların %99’u satıp vurgunculuk yaparım diye alıyor. Alıp ta şöyle bir Türkiye turu yapayım diyeni hiç duymadım. Bugün 1,5m alsın bu arabayı yarın 2,5m dan ilanda.                ",4 ay
"TR'ye pek çok marka plug in hybrid ve elk araç girişi Togg nedeniyle engelleniyor. AB be ABD'de elk araçlarda vergi sıfırlandı. Bazı yerlerde de teşvik var. Hızlı bir dönüşüm var. Bize kırıntıları geliyor sadece. TR'den bakma olaya, hiçbişey göremezsin.. Bizdeki son otomobil yatırımı 97"" Ford Demirel dönemi. 2. el zaten yasak. Bizde de elk araç vergileri AB'ye uysun bak gör sen piyasa nasıl hemen elektrikliye dönüyor. Talep neyse o gelir. Arz'la ilgisi yok.                ",4 ay
Elbette bu dediğini yapmak için Togg un seri üretim hızını beklicekler bu dönüşüm için Türkiye de mutlaka bu indirimlere gider.                ,4 ay
"Hocam önümüzdeki yıllarda araba kiralama yaygınlaşacak cunku bu kadar yüksek fiyatlara kimse araba satın alamayacak onun yerine gezeceği günlerde araba kiralayacak.   O durumda yine vurguncular kazanacak. 1,5m TL'ye aldığı arabayı kiraya vererek 3 yılda 2,5m 'nin de üstünde gelir sağlayacak ancak müşteriler daha mutlu olacak cunku kazık gizlenmiş olacak.    Transportation as a Service / TaaS , Mobility as a Service / MaaS konularını bir araştırın derim.                ",4 ay
Avmlerde bile kiralama standları açılmış cep telefonu kılıfçısı sandım                ,4 ay
review,date
"Ya arabadan hiç anlamıyorsun yada iş olsun diye yorum yazdın. Bu ülkeye getirilmeyrn bir sürü araba var nedeni basit ""Vergi"". Çünkü bu ülkede ister normal isterse elektrikli farketmez her araç motoruna göre vergi dilimine giriyor. Bundan dolayı çoğu araç ülkemize gelmiyor. Bu elektrikli araçlarla alakası yok.                ",5 ay
Üstad benim anlatmak istediğimi yanlış yorumların sanırım. Benim anlatmak istediğim şey eğer elektrikli araba üretmek için uğraşıyor olmasaydık. Elektrikli araç halen daha gelmiyor olur pazar olarak öncelikleri Avrupa olurdu. Hala fosil yakıtlı araç geliyor olurdu. Bu manada yazdım ben                ,5 ay
Ben ne demek istediğini anladım o yüzden böyle bir yorum yazdım.  Yani düşündüğün gibi değil demek istiyorum.Uygun bir pazar yaratırsan kimse senin neyi üretip üretmediğine bakmaz gelir.                ,5 ay
Dostum ister beğen ister beğenme 2. Dünya ülkesinin hindistan ve afrika ülkeleri kadar olmasada avrupalı kullanmadığını sana süsleyip satıcaktır diyorum. Kendileri 2030 elektrikli ye geçerken sana 2030 da teknolojik diye dizel araba satıcaktır diyorum. Elektrikli araba teknolojisi için diyorum.                ,5 ay
"20° havada eğimsiz otobanda 90km/h ile kullanınca bile speklerde verilen menzil rakamına ulaşılamıyor. Mayıs 2023'te son çıkan Tesla ile adam Almanya'da o şekilde test yaptı, verilen menzili yine tutturamadı, video link verebilirim.                ",5 ay
"Son derece yanlış bir düşünce. AB'deki Euro normlarının yavaş ta olsa TR'de de uygulanması gibi e-araca geçiş te uygulanacaktır. TR'de 40 milyon kW elektrik üretiliyor, Akkuyu nükleer, hidrolik santral, rüzgar türbini yatırımları yıllardır boşuna mı yapılıyor, tabi ki yollarda dolaşacak e-araçların elektriğinin nereden geleceğine mazaret olması için yapılıyor.                ",5 ay
"Yavaştan diyorsun gördüğün gibi elektrikli araç dönüşümü şuan gerçekleşiyor. Hazırda kurulu sistemde üretilenin karlılığı için bir anda komple elektrikli ye dönüş olmaz.Bundan ötürüdür ki biz elektrikli araç üretimine girmeseydik Tesla, Volkswagen, BMW, Mercedes-Benz, Audi gibi markalar 5 fosil yakıtlı getiriyor ise 1 elektrikli getirmeye devam edicekti.                ",5 ay
togg mog boş verin. mercedese yumuuulll                ,5 ay
Ya dizel passata 2 milyon istenen piyasada bu araba bedava    Git bak bakalım bayiye bı Tiguan bı 2008 kaç para                ,5 ay
Sıraya yazılmaya alıştık ilk 5000 bine gireriz artık 😁                ,5 ay
EQB şu fiyatla bedavadan biraz daha pahalı.408 gibi bir çöpe 1.7 milyon vereceğine... :D                ,5 ay
Alınacak en iyi elektrikli araçlardan olmuş..  Mercedes markası için alacak çok fazla..togg için ciddi rakip..                ,5 ay
"Saftirik arkadaşım 2020 model en boş paket ve hasarlı Tiguan a 1.300.000 para ödedi, kafa olmayınca ne desen boş işte. Şuan kafasını duvara vuruyor ama laf dinlemek lazım. Şu arabaların fiyatı piyasaya göre çok iyi. Üstelik Mercedes online sistemi ile bayi şerefsizliği ile alınan hava paraları da ortadan kalktı.                ",5 ay
Opsiyonlar dahil fiyat önemli. 1.8 ve üzeri olası.                ,5 ay
Mercedes Eqa ve Eqb  isciligi Tesla model Y den daha iyi .                ,5 ay
Bedavadan biraz pahalı.😃                ,5 ay
Elektrikli araçlarla uzun yol eziyettir muhtemelen. 506km menzil çok çok az.                ,5 ay
review,date
"
Mercedes EQA ve EQB, güçlü ve verimli elektrikli güç-aktarma sistemleri, akıllı enerji geri-kazanım özelliği ve elektrikli zekâ temelli tahmine dayalı navigasyonla kompakt SUV segmentinde öne çıkıyor.  EQA 250+ AMG+ 1.462.500 TL’den, EQB 250+ AMG+ ise 1.510.000 TL’den başlayan fiyatlara sahip.Yeni satışa sunulan 190 beygirlik (HP) motorlarıyla EQA 250+ ve EQB 250+, ürettikleri 385 Nm torku önden çekiş sistemiyle zemine aktarırken, EQA 250+ 506 km, EQB 250+ ise 481 kilometreye ulaşan güçlü menzilleri ile öne çıkarak elektrikli seyahatte özgürlüğü baştan tanımlıyor. EQA 250+ ve EQB 250+, 11 kw AC, 100 kw DC şarj kapasitesi ve 70,5 kWh batarya kapasitesine sahip. Yaklaşık 35 dakika gibi kısa bir sürede %80’e kadar sarj doluluğuna ulaşabiliyorlar.EQA ve EQB ilk olarak geçen yıl mayıs ayında Türkiye’ye gelmiş, kompakt SUV segmentinde günlük kullanıma dair tüm ihtiyaçları karşılarken, tasarımları ve uzun menzilleri kısa sürede ilgi toplamıştı.Ayrıca Bkz.Makyajlı Opel Corsa tanıtıldı: Vizor tasarımı, hafif hibrit sistem ve daha güçlü elektrikli versiyonMercedes-EQ’nun elektrikli güç aktarma sistemleri ve araç yazılımındaki teknoloji liderliği hedefleri doğrultusunda geliştirilen kompakt modelleri, ulaşılabilir lükste yeni bir seviyeye ulaşıyor. ",5 ay
Belirtilen fiyatlardan piyasaya giriş yaparsa yer gök mercedes olur.                ,5 ay
Bu fiyattan gelirse 2 yıllık sıra oluşur...                ,5 ay
yakında galerilerde 2.2+ milyona görürüz...                ,5 ay
Ötv az olunca bedava gibi geliyor bir anda.                ,5 ay
"Beyler, Türkiye'de araç satın alırken ""liste fiyatı"" diye bir şey yok artık, o sembolik bir fiyat, geçerliliği yok. O iş bitti artık.Geçerli fiyat, bayiinin size söylediği rakamdır... Maalesef böyle.                ",5 ay
Tesla daha uygun ama arada ciddi MTV farkı var.                ,5 ay
Mercedes’te geçerli değil bu durum artık liste fiyatı neyse o kendileri online olarak satacak artık bayiler satamayacak. Gerçi araç yok şu an isteyende alamıyorsun ama olsun en azından bayi işi yok artık Mercedes’te sıraya giren bekleyen araç gelince alır                ,5 ay
"Alanlar belirtilen menzilin yarısı kadar gittiğini deneyimleyince 2. el pazarı da yer gök mercedes olabilir.   2021 model Mercedes EQS'in menzil rakamı olarak 770km veriliyor. Youtube'ta adam EQS'i fulşarj ediyor kadranda yazan menzil 464km.   Aracı tasarruf moduna alıp 110km/h altı hızda Ankara'dan İstanbul'a gidiyor, 197.km'de şarj %42'ye menzil 178km'ye düşüyor. Bolu'da şarj istasyonuna uğruyor %91'e kadar şarj için yaklaşık 1 saat bekliyor. İstanbul Kavacık'a girdiğinde şarj %33'e düşüyor.    5 milyon liralık Mercedes'te durum bu ise 1,5 milyon liralık Mercedes'te kim  bilir neler olur.                ",5 ay
"
Bayilerin halen kotası var. Online giren araçların %90'ı tekrar ediyor. Hep aynı araç gir çık yapılıyor. ",5 ay
"online satışa geçecekleri için dümen olmama ihtimali var, bu yüzden rakiplerin fiyatlarına çeki düzen verecektir diye düşünüyorum, Mercedes Türkiye bir süre satışlarını 2-3'e katlayabilir fakat daha sonraki dönemde rakipler de buna ayak uydurur satışlar normale döner. Tabi o zamana kadar şuan 1,4 ~ 2,5 Milyon aralığındaki tüm rakiplerini ezer geçer gibi bir tahminim var.                ",5 ay
Kaptım bi tane teşekkürler                ,5 ay
Tüketim noktasında elektrikli aracı hangi hızda kullandığınız çok önemli. motorların verimlilikleri 110km'den itibaren berbat bir hal alıyor. sıkıntılı olan kesinkez hızlıdır verimsiz halinde bu rakamları görüyordur.                ,5 ay
Güzel buna ek gümrük vergisi gibi birşeyde koyamazlar.                ,5 ay
Trollükle vs suçlanmak istemem ama arkadaşlar yerli üretim bir elektrikli araba projesi başlamasaydı. Emin olun bu kadar elektrikli araç getirmezlerdi. Farkında olalım.                ,5 ay
1.5mn çok ucuz piyasaya kıyasla şu anki şartlar altında                ,5 ay
O fiyatlara bulmanız imkansız olur...                ,5 ay
review,date
Mercedes vito 111 2005 model  fren pedalı bir iki saat bekledikten sonra sertleşiyor sebebi ne olabilir                ,2 hafta
review,date
"Merhaba,Forumda W206 kasa için özel açılmış başlık göremedim. Bizimde özel bir başlığımız olsun. Zamanla teknik detayları paylaşır yeni şeyler öğreniriz.                ",4 ay
w206 için kimseden yorum yok mu                ,2 ay
Her iki araçtanda teklif aldım                ,2 ay
"Ben yıllarca F10-F30 kullanmış birisi olarak W206 aldım. herşeyden önce g20’den açık ara hızlı - 4matic - kasası 3-4 yıl yeni - konfor konusunda net iyi.G20 tarafında ise modifiyeye açık, W206’yi yaklaşır. Standart donanımlı G20 - W206 dan oldukça dolu ama benim gibi premium paket alırsanız adaptif cc haricinde arka koltuk ısıtma - güneşliklere kadar tam dolu bir araba alırsınız. Net olarak C200 daha havalı duruyor. (Kişisel görüş)                ",geçen ay
"W205 C200d sahibiyim fakat ayrıca W206 C200 kullandım. W205'den önce de W204 C180 kompressor sahibiydik.W205, W204'den sonra çok bozulmuştu. Premium otomobil kullanıyorum hissiyatını doğrusu pek alamamıştım. Fakat W206'ları kullandığında eski kalitesini geri getirmiş yorumunu rahatlıkla yapabiliyorum. özellikle mild hybrid sisteminden sonra sürüş konforu fazlasıyla arttı. Donanımlar da iyileştirildi.Bende ayrıca F30 320i ED bulunuyor. Bir sonraki arabam olarak duruma göre C veya GLC düşünebilirim. Bu sefer güzel araba yaptılar.                ",4 hafta
review,date
Bana ulaşır mısın eko lütfen konuşmam gerek yoksa intihar edeceğim. Ulaş lütfen burda ol. Bu mesajı gör eko bişey yaz lütfen                ,4 hafta
review,date
cle300 gelmiş geçmiş en ideal coupe olabilir :O                ,3 ay
Coupe konusunda Audi tt tek geçerim ama artık yeni kasa getirmeleri lazım tt için makyajla makyajla sıktı :D                ,3 ay
Bu yine bildiğin c coupe olmuş.E coupe ile alaksı yok.E yi kaldırıp c den devam etmişler bildiğin.Nerede o e coupe’nin ağır duruşu.                ,3 ay
Ya  bari üstü açık olarak yapılsaydı keşkede en azından havası olurdu ..!                ,3 ay
Bunu görünce evin aşağısında yatana 10 lira mazot koyası gelmiyor insanın...                ,3 ay
Gayet şık ve güzel olmuş motor seçenekleri açısından da yeterli görünüyor.                ,3 ay
"Daha bu ilk model, C63 gibi büyük ihtimal AMG modeli de gelecektir bunun.                ",3 ay
"Clk serisi yeniden doğdu diyebiliriz, her ne kadar clk e coupe olsa da e coupe modeller clk ile aynı hissi vermiyor, clk daha çok e serisinin c coupe hatlarını içermesi ile oluşturulmuş. Tasarım olarak 2 clk kasasının da çıktığı dönemler ile karşılaştırırsak bu modelde de aynı tasarım mantığı ile ilerlemiş oldukları anlaşılıyor ki bu güzel olmuş ama önünü o kadar beğenmedim.                ",3 ay
Mercedes'in tek beceremediği konu uzun yıllardır Coupe kasalar. 4 ve 8 serisi bu konuda Mercedes'den kat kat üstün mesela.                ,3 ay
"bu arabanın görünüm itibarıyla tek eksisi ismi.clk olacaktı bunun adı. tasarım olarak çok elit duruyor bence,içi de çok güzel                ",3 ay
Yakışıklı cihazmış                ,4 hafta
review,date
"
Mercedes-Benz ve BMW, pazarın premium segmentinde Tesla'yı yakalamak için elektrikli konsept otomobillerini görücüye çıkardı. Münih'te düzenlenen Uluslararası Otomobil Fuarı (IAA) kapsamında Mercedes, Concept CLA Class'ın üstündeki örtüyü kaldırırken BMW de Vision Neue Klasse'yi tanıttı.Bu otomobiller Alman otomobil üreticilerinin şimdiye kadar elektrikli araçlara yönelik en agresif atılımları olan yeni bir platform üzerinde inşa edildi. Yeni platformları önümüzdeki yıllarda yollarda göreceğiz. Öte yandan bu araçlar esasında konseptler, bu nedenle nihai formlarının nasıl görüneceği belli değil.Mercedes-Benz Concept CLA ClassMercedes-Benz Concept CLA Class, Alman otomobil devi tarafından elektrikli otomobiller için tasarlanan yeni bir platform olan Mercedes-Benz Modüler Mimari (MMA) üzerine inşa edildi. Ürün yelpazesi, dört kapılı bir coupe, bir estate ve iki spor hizmet aracı olmak üzere toplam dört yeni modelden oluşacak.Mercedes, aracın tek bir şarjla 750 kilometre menzile sahip olacağını iddia ediyor. Şirket ayrıca bataryanın sadece 15 dakika içinde şarj edilebileceğini ve böylece aracın 400 kilometre kadar sürülebileceğini iddia ediyor.Mercedes iç mekana ve kullanıcı deneyimine büyük önem veriyor. Şirket, MB.OS adı verilen otomobil için kendi işletim sistemini geliştirdiğini söyledi. Bu, gösterge panelindeki dev ekrandan araç içindeki sesli asistana kadar çeşitli özelliklere güç sağlamaya yardımcı olacak. Ayrıca, en sevdiğiniz müzik veya video akışı uygulamaları gibi üçüncü taraf uygulamaların araçla entegre edilmesine de olanak tanıyacak.Ayrıca Bkz.Dünya rekoru olabilir: Tesla’nın Türkiye’de ne kadar sattığı belli olduMercedes-Benz bir basın açıklamasında ""Bu tescilli çipten buluta mimari, şirket için tamamen yeni bir yaklaşımı temsil ediyor ve gelecekteki tüm araçlarının büyük ölçüde gizli ancak belirleyici bir yönü olacak"" dedi. Geleneksel otomobil üreticileri yazılım konusunda Tesla'nın gerisinde kalmış gibi algılanıyor. Bu hamle Mercedes'in arayı kapatmaya çalıştığını gösteren açıkça gösteriyor diyebiliriz.BMW Vision Neue KlasseBMW Vision Neue Klasse, BMW'nin Tesla’ya yönelik bir cevabı konumunda. Ayrıca BMW'nin gelecekteki elektrikli otomobillerinin temelini oluşturacak yeni bir mimari üzerine inşa ediliyor. Neue Klasse - ya da yeni sınıf - mimarisine dayanan ilk elektrikli araçların 2025 yılında üretime girmesi planlanıyor.Konsept araç cam bir tavana sahip. BMW, aracın tasarımının hayranların markayı tanıdığı klasik unsurları barındırdığını söyledi. Ancak araç tanıtıldıktan sonraki tartışmalar bunun aksini gösteriyor. BMW, Panoramic Vision olarak adlandırdığı ve ön cama sürücünün göz hizasında bilgi yansıtan bir baş üstü ekrana sahip olacağını söyledi.Şirket bunun ilk olarak Neue Klasse'de mevcut olacağını söyledi. BMW, hem yolcu hem de sürücünün Panoramic Vision özelliği ile etkileşime girebileceğini belirtiyor. Menzil ve şarj konusunda çok az ayrıntı vardı. Ancak BMW, yeni nesil teknolojisinin Neue Klasse modellerinin şarj hızını ve menzillerini yüzde 30'a kadar artıracağının altını çizdi.Kaynak:https://www.cnbc.com/2023/09/04/bmw-mercedes-reveal-electric-concept-cars-specs-features-details.html ",geçen ay
Tesla ya kafa tutmak mı asdfghjklşiidsasdfgrtyuı sonunuz tıplı Nokıa Blacberry gibi olacak sizler dinozor şirketlersiniz ve yok olacaksınız sektördeki rahat düzeniniz bozuldu tabi iki jant ekle bir far değiştir yeni model diye sat iki tane tuş ekle makyajlı kasa diye sat devri bitti artık Elon bunların psikolojisini bozdu. Umarım Çinliler ve yeni Start up firmalar bunları yok ederDaha önce konsept diye gösterdikleri araçta buydu fazla güvenmemek lazım < Resime gitmek için tıklayın >< Resime gitmek için tıklayın > ,geçen ay
Bence çıkardıkları model konsepten güzel olmuş :)Ama diğer dediğin konuda hak veriyorum. Böyle devam ederlerse sonları kötü bitebilir.                ,geçen ay
Bu konsep tasarımlar bana göre çok itici ve tipsiz duruyor. Bu kadar saçma konsep tasarımlar yerine daha gerçekçi araçlar görmeyi tercih ederim.                ,geçen ay
çok çirkinler.....                ,geçen ay
"nedense bmw, vw, mercedes gibi firmalar konu  elektrikli araç  olunca dış görünüşünü, içini utopik yapmak istiyor. düzgün bir tasarım yap, koy içine elektrikli motoru. tesla gibi yap. ben aracın gündelik kullanımda ne kadar rahat ettirdiğine bakarım. utopik olunca tasarımı güzel oluyor diye birşey yok. hatta beni çekmiyor.                ",geçen ay
